Num_expediente,Cod_distrito,Nombre_distrito,Cod_barrio,Nombre_barrio,Dia_semana,Hora,Causalidad,Fecha,Latitud,Longitud
2015S005022,10,Sant Martí,64,el Camp de l'Arpa del Clot,martes,0,No hay causa mediata,2015-06-30,41.41629410168425,2.184294161883998
2015S000390,10,Sant Martí,64,el Camp de l'Arpa del Clot,sabado,0,No hay causa mediata,2015-01-17,41.41505291062014,2.1800166681639714
2015S001866,10,Sant Martí,64,el Camp de l'Arpa del Clot,miercoles,8,No hay causa mediata,2015-03-11,41.41776992245236,2.181927106661357
2015S004932,10,Sant Martí,64,el Camp de l'Arpa del Clot,viernes,14,No hay causa mediata,2015-06-26,41.41328940203058,2.180063615116817
2015S007776,10,Sant Martí,64,el Camp de l'Arpa del Clot,viernes,16,No hay causa mediata,2015-10-16,41.413715865571994,2.1789086195051635
2015S005088,10,Sant Martí,64,el Camp de l'Arpa del Clot,jueves,14,No hay causa mediata,2015-07-02,41.4150547013848,2.1815964656489255
2015S007146,10,Sant Martí,64,el Camp de l'Arpa del Clot,miercoles,0,No hay causa mediata,2015-09-23,41.41452108972317,2.1797232616972693
2015S002937,10,Sant Martí,64,el Camp de l'Arpa del Clot,domingo,22,No hay causa mediata,2015-04-19,41.41065169757337,2.1811575832411916
2015S001952,10,Sant Martí,64,el Camp de l'Arpa del Clot,sabado,10,No hay causa mediata,2015-03-14,41.410564244205176,2.183681337844673
2015S004924,10,Sant Martí,64,el Camp de l'Arpa del Clot,viernes,11,No hay causa mediata,2015-06-26,41.41108126470919,2.1843786398264498
2015S006567,10,Sant Martí,64,el Camp de l'Arpa del Clot,martes,7,No hay causa mediata,2015-09-01,41.41143351333613,2.184882265522325
2015S005987,10,Sant Martí,64,el Camp de l'Arpa del Clot,martes,15,No hay causa mediata,2015-08-04,41.40966718740187,2.1825139324317044
2015S005717,10,Sant Martí,64,el Camp de l'Arpa del Clot,viernes,17,No hay causa mediata,2015-07-24,41.40956579029873,2.184205563326575
2015S000670,10,Sant Martí,64,el Camp de l'Arpa del Clot,martes,20,No hay causa mediata,2015-01-27,41.411178354677354,2.1863871703343776
2015S003464,10,Sant Martí,64,el Camp de l'Arpa del Clot,jueves,12,No hay causa mediata,2015-05-07,41.411902314978846,2.1873471852387265
2015S008600,10,Sant Martí,64,el Camp de l'Arpa del Clot,sabado,16,No hay causa mediata,2015-11-14,41.410343720976606,2.187572522988175
2015S001064,10,Sant Martí,64,el Camp de l'Arpa del Clot,miercoles,13,No hay causa mediata,2015-02-11,41.410343720976606,2.187572522988175
2015S001514,10,Sant Martí,64,el Camp de l'Arpa del Clot,jueves,21,No hay causa mediata,2015-02-26,41.414327021708175,2.1819938797835525
2015S006771,10,Sant Martí,64,el Camp de l'Arpa del Clot,martes,22,No hay causa mediata,2015-09-08,41.41512964124939,2.182470332012175
2015S002703,10,Sant Martí,64,el Camp de l'Arpa del Clot,sabado,23,No hay causa mediata,2015-04-11,41.41512964124939,2.182470332012175
2015S004293,10,Sant Martí,64,el Camp de l'Arpa del Clot,jueves,11,No hay causa mediata,2015-06-04,41.415186653590965,2.1830022076925286
2015S004557,10,Sant Martí,65,el Clot,viernes,23,No hay causa mediata,2015-06-12,41.414058283906755,2.1918655032784615
2015S003043,10,Sant Martí,65,el Clot,miercoles,18,No hay causa mediata,2015-04-22,41.414058283906755,2.1918655032784615
2015S002514,10,Sant Martí,65,el Clot,viernes,21,No hay causa mediata,2015-04-03,41.41317755743144,2.190536428586138
2015S001831,10,Sant Martí,65,el Clot,martes,7,No hay causa mediata,2015-03-10,41.41175900096792,2.195755589534631
2015S003861,10,Sant Martí,64,el Camp de l'Arpa del Clot,martes,18,No hay causa mediata,2015-05-19,41.41346779143203,2.1871654237420053
2015S000381,10,Sant Martí,64,el Camp de l'Arpa del Clot,viernes,17,No hay causa mediata,2015-01-16,41.41362417694934,2.1873716712750815
2015S009845,10,Sant Martí,64,el Camp de l'Arpa del Clot,viernes,18,No hay causa mediata,2015-12-25,41.41379981865998,2.1875751671193417
2015S007010,10,Sant Martí,64,el Camp de l'Arpa del Clot,viernes,9,No hay causa mediata,2015-09-18,41.41379981865998,2.1875751671193417
2015S009968,10,Sant Martí,65,el Clot,miercoles,13,No hay causa mediata,2015-12-30,41.414937646611406,2.1911168047628182
2015S005691,10,Sant Martí,65,el Clot,jueves,19,No hay causa mediata,2015-07-23,41.41044942941594,2.1940601806196245
2015S009924,10,Sant Martí,65,el Clot,martes,9,No hay causa mediata,2015-12-29,41.41614915663449,2.193645347568763
2015S004241,10,Sant Martí,65,el Clot,miercoles,9,No hay causa mediata,2015-06-03,41.41614915663449,2.193645347568763
2015S004528,10,Sant Martí,65,el Clot,jueves,20,No hay causa mediata,2015-06-11,41.41440948332957,2.188295311822979
2015S003679,10,Sant Martí,65,el Clot,miercoles,18,No hay causa mediata,2015-05-13,41.415761925312296,2.1883804217704004
2015S007314,10,Sant Martí,72,Sant Martí de Provençals,miercoles,9,No hay causa mediata,2015-09-30,41.41867207891297,2.199400557027193
2015S001267,10,Sant Martí,72,Sant Martí de Provençals,jueves,11,No hay causa mediata,2015-02-19,41.42065388962184,2.1987388728929345
2015S000667,10,Sant Martí,72,Sant Martí de Provençals,martes,18,No hay causa mediata,2015-01-27,41.414685797102436,2.1977419047612363
2015S008433,10,Sant Martí,72,Sant Martí de Provençals,lunes,9,No hay causa mediata,2015-11-09,41.41674884358729,2.1959060722823494
2015S009440,10,Sant Martí,72,Sant Martí de Provençals,sabado,0,No hay causa mediata,2015-12-12,41.41674884358729,2.1959060722823494
2015S007370,10,Sant Martí,72,Sant Martí de Provençals,viernes,0,No hay causa mediata,2015-10-02,41.4173754380563,2.1950093861861633
2015S005344,10,Sant Martí,72,Sant Martí de Provençals,viernes,15,No hay causa mediata,2015-07-10,41.41767962353949,2.194636595489041
2015S004950,10,Sant Martí,65,el Clot,viernes,22,No hay causa mediata,2015-06-26,41.4077600713824,2.1863823206079154
2015S002521,10,Sant Martí,65,el Clot,sabado,10,No hay causa mediata,2015-04-04,41.40631790741993,2.1885029879960696
2015S009984,10,Sant Martí,72,Sant Martí de Provençals,miercoles,20,No hay causa mediata,2015-12-30,41.4215561938733,2.2021773352696723
2015S000789,10,Sant Martí,65,el Clot,domingo,11,No hay causa mediata,2015-02-01,41.40853215457795,2.1856257490753217
2015S003211,10,Sant Martí,65,el Clot,martes,14,No hay causa mediata,2015-04-28,41.406470178928316,2.189186513201715
2015S005856,10,Sant Martí,65,el Clot,miercoles,20,No hay causa mediata,2015-07-29,41.406470178928316,2.189186513201715
2015S001352,10,Sant Martí,65,el Clot,sabado,13,No hay causa mediata,2015-02-21,41.406470178928316,2.189186513201715
2015S002382,10,Sant Martí,65,el Clot,sabado,21,No hay causa mediata,2015-03-28,41.406470178928316,2.189186513201715
2015S000664,10,Sant Martí,65,el Clot,martes,16,No hay causa mediata,2015-01-27,41.410265006825966,2.1884292217213694
2015S008178,10,Sant Martí,72,Sant Martí de Provençals,viernes,19,No hay causa mediata,2015-10-30,41.42146806630948,2.202211322641496
2015S003587,10,Sant Martí,72,Sant Martí de Provençals,lunes,9,Exceso de velocidad o inadecuada,2015-05-11,41.41872943932473,2.2051008355161703
2015S004222,10,Sant Martí,73,la Verneda i la Pau,martes,12,No hay causa mediata,2015-06-02,41.421653265202714,2.203160897842019
2015S002414,10,Sant Martí,73,la Verneda i la Pau,lunes,16,No hay causa mediata,2015-03-30,41.423078844543625,2.205213657552222
2015S008960,10,Sant Martí,73,la Verneda i la Pau,jueves,15,No hay causa mediata,2015-11-26,41.43079171841131,2.2040622899302518
2015S007821,10,Sant Martí,70,el Besòs i el Maresme,domingo,3,No hay causa mediata,2015-10-18,41.41067293536728,2.222055694533582
2015S004359,10,Sant Martí,70,el Besòs i el Maresme,sabado,12,No hay causa mediata,2015-06-06,41.41535008160389,2.2220171185049766
2015S009159,10,Sant Martí,73,la Verneda i la Pau,miercoles,13,No hay causa mediata,2015-12-02,41.42404841796367,2.2065330738802165
