,fecha,precipict,tempMax,tempMedia,tempMin,velMax,velMedia
0,2015-01-01,0.0,14.2,10.3,6.4,13.3,2.5
1,2015-01-02,0.0,,,,6.7,2.5
2,2015-01-03,0.0,19.0,14.4,9.7,6.7,1.4
3,2015-01-04,0.0,18.4,13.2,8.1,9.2,1.9
4,2015-01-05,0.0,16.1,11.2,6.3,6.1,2.8
5,2015-01-06,0.0,14.6,11.0,7.5,5.6,1.9
6,2015-01-07,0.0,15.5,12.0,8.4,5.3,1.4
7,2015-01-08,0.0,15.5,10.8,6.2,8.1,2.8
8,2015-01-09,0.0,16.0,11.6,7.3,8.6,2.8
9,2015-01-10,0.0,,,,6.7,1.1
10,2015-01-11,0.0,17.4,13.4,9.3,7.2,1.4
11,2015-01-12,0.0,17.1,13.2,9.2,7.5,1.9
12,2015-01-13,0.0,17.0,13.8,10.7,11.9,3.1
13,2015-01-14,0.0,17.0,14.0,11.0,7.5,2.2
14,2015-01-15,0.0,17.2,14.0,10.8,10.3,3.3
15,2015-01-16,0.3,14.4,11.8,9.1,12.5,2.5
16,2015-01-17,0.0,14.7,10.8,7.0,11.4,1.9
17,2015-01-18,2.6,13.9,9.7,5.5,11.4,3.1
18,2015-01-19,5.0,9.3,8.4,7.5,7.8,2.8
19,2015-01-20,0.0,11.8,9.6,7.4,6.7,2.5
20,2015-01-21,0.0,11.8,9.2,6.6,7.2,1.7
21,2015-01-22,0.0,13.3,9.0,4.8,6.7,1.7
22,2015-01-23,0.0,14.7,10.2,5.7,11.4,4.4
23,2015-01-24,0.0,14.9,11.6,8.2,14.2,4.2
24,2015-01-25,0.0,14.8,12.2,9.5,19.4,3.6
25,2015-01-26,0.0,13.5,10.5,7.5,8.1,2.2
26,2015-01-27,0.0,13.7,11.1,8.5,8.3,4.2
27,2015-01-28,0.0,13.6,10.4,7.2,5.6,3.1
28,2015-01-29,0.0,17.6,13.3,9.0,20.3,3.1
29,2015-01-30,0.0,18.2,14.4,10.5,23.1,6.1
30,2015-01-31,0.0,14.8,11.3,7.8,15.0,4.2
31,2015-02-01,0.0,12.5,9.2,6.0,18.6,5.3
32,2015-02-02,0.1,11.0,8.0,4.9,15.0,3.3
33,2015-02-03,0.9,9.3,7.5,5.7,11.7,2.5
34,2015-02-04,1.6,8.2,5.9,3.6,21.7,3.6
35,2015-02-05,0.0,12.1,8.5,4.9,10.3,1.9
36,2015-02-06,0.0,9.6,6.4,3.2,8.9,1.9
37,2015-02-07,0.0,10.7,7.4,4.1,7.2,2.5
38,2015-02-08,0.0,11.7,8.6,5.5,10.8,2.5
39,2015-02-09,0.0,13.7,9.3,4.9,8.6,3.1
40,2015-02-10,0.0,16.1,12.0,7.8,6.7,2.8
41,2015-02-11,0.0,14.5,10.0,5.5,5.6,1.7
42,2015-02-12,0.0,14.8,11.0,7.2,5.0,2.8
43,2015-02-13,0.0,15.8,13.2,10.5,10.8,3.6
44,2015-02-14,0.0,15.7,12.5,9.3,9.7,3.1
45,2015-02-15,0.0,14.9,12.6,10.4,7.5,1.9
46,2015-02-16,0.0,15.5,11.8,8.1,8.6,3.6
47,2015-02-17,0.1,15.3,13.3,11.3,9.7,3.6
48,2015-02-18,0.0,16.0,13.0,10.1,9.4,3.9
49,2015-02-19,0.0,14.9,11.6,8.3,6.1,2.8
50,2015-02-20,0.0,13.2,10.1,7.0,8.6,3.9
51,2015-02-21,0.0,13.0,11.2,9.5,7.8,3.1
52,2015-02-22,0.0,16.6,12.1,7.6,15.0,3.9
53,2015-02-23,0.1,16.3,12.2,8.1,11.7,3.3
54,2015-02-24,0.0,14.9,12.0,9.1,16.7,6.9
55,2015-02-25,0.0,18.3,13.8,9.3,11.9,5.0
56,2015-02-26,0.0,15.8,12.2,8.6,5.8,1.1
57,2015-02-27,0.0,14.9,12.2,9.6,11.1,4.4
58,2015-02-28,0.0,13.2,10.4,7.6,8.6,3.9
59,2015-03-01,0.0,17.0,13.9,10.8,7.8,3.1
60,2015-03-02,0.0,21.4,17.8,14.1,8.3,2.8
61,2015-03-03,0.0,17.0,15.0,12.9,5.0,2.2
62,2015-03-04,9.1,14.1,11.0,8.0,13.6,3.6
63,2015-03-05,0.0,20.2,14.0,7.7,16.4,4.7
64,2015-03-06,0.0,14.9,11.6,8.4,8.3,4.2
65,2015-03-07,0.0,15.8,12.1,8.4,7.5,1.7
66,2015-03-08,0.0,15.9,12.0,8.2,5.6,2.5
67,2015-03-09,0.0,15.6,12.8,10.1,7.5,3.9
68,2015-03-10,0.0,16.6,13.5,10.4,8.9,4.4
69,2015-03-11,0.0,17.5,14.0,10.5,7.2,2.8
70,2015-03-12,0.0,18.0,15.1,12.2,7.5,3.3
71,2015-03-13,0.0,15.5,13.4,11.3,8.3,3.3
72,2015-03-14,10.1,13.2,10.0,6.9,12.5,3.3
73,2015-03-15,0.1,13.6,10.2,6.7,8.6,3.1
74,2015-03-16,0.0,12.5,10.1,7.7,10.0,5.3
75,2015-03-17,0.0,15.7,11.6,7.4,9.4,2.2
76,2015-03-18,0.0,14.7,13.6,12.5,15.8,9.7
77,2015-03-19,0.0,,,,15.0,10.3
78,2015-03-20,3.6,15.3,14.5,13.7,21.1,12.2
79,2015-03-21,0.5,15.0,13.8,12.6,20.8,10.6
80,2015-03-22,0.0,15.4,13.8,12.1,14.2,7.2
81,2015-03-23,0.7,14.7,13.6,12.6,13.9,8.9
82,2015-03-24,1.9,14.5,13.4,12.3,12.8,6.7
83,2015-03-25,9.3,13.6,12.0,10.5,7.8,2.5
84,2015-03-26,0.0,15.3,11.8,8.2,10.8,3.6
85,2015-03-27,0.0,17.3,14.4,11.4,5.3,1.9
86,2015-03-28,0.0,20.2,16.8,13.4,8.6,3.1
87,2015-03-29,0.0,18.8,15.9,13.0,8.3,2.5
88,2015-03-30,0.0,19.9,16.6,13.3,7.8,1.4
89,2015-03-31,0.0,19.1,16.6,14.2,6.4,3.1
90,2015-04-01,0.8,16.8,14.8,12.7,12.5,4.2
91,2015-04-02,0.0,17.5,14.8,12.0,7.8,2.8
92,2015-04-03,0.0,16.8,14.1,11.4,7.2,3.6
93,2015-04-04,0.0,17.3,15.1,12.9,7.2,2.8
94,2015-04-05,0.0,16.7,14.1,11.5,9.4,5.3
95,2015-04-06,0.0,15.7,13.6,11.6,11.9,6.1
96,2015-04-07,0.0,15.6,12.6,9.7,14.2,5.8
97,2015-04-08,0.0,16.6,12.8,9.0,8.6,3.6
98,2015-04-09,0.0,16.2,12.4,8.5,6.1,2.5
99,2015-04-10,0.0,17.6,13.7,9.8,5.6,3.3
100,2015-04-11,0.0,16.3,13.9,11.5,10.0,4.2
101,2015-04-12,0.0,18.1,15.6,13.2,5.0,1.9
102,2015-04-13,0.0,18.6,15.0,11.3,5.8,3.1
103,2015-04-14,0.0,18.8,15.4,12.1,5.3,1.9
104,2015-04-15,0.1,18.9,15.9,12.9,9.4,5.0
106,2015-04-16,,18.1,16.8,15.4,7.2,2.5
107,2015-04-18,3.4,19.4,16.7,14.0,7.8,3.1
108,2015-04-19,0.1,19.1,16.8,14.4,10.6,5.0
109,2015-04-20,0.0,18.2,15.8,13.5,5.6,2.5
110,2015-04-21,0.0,21.5,17.6,13.6,4.7,1.7
112,2015-04-22,,,,,,2.8
113,2015-04-24,0.0,20.1,17.2,14.2,11.1,3.9
114,2015-04-25,0.1,17.8,17.0,16.3,7.8,3.9
115,2015-04-26,2.6,19.1,17.3,15.5,7.2,2.2
116,2015-04-27,0.1,21.7,18.2,14.7,12.8,3.6
117,2015-04-28,0.0,18.9,16.6,14.2,7.8,3.3
118,2015-04-29,0.0,18.2,15.8,13.4,9.2,4.2
119,2015-04-30,0.0,19.4,16.8,14.2,11.1,5.6
120,2015-05-01,0.0,22.3,18.8,15.4,11.7,4.2
121,2015-05-02,0.0,24.1,20.2,16.4,10.6,3.9
122,2015-05-03,0.0,,,,10.0,3.6
123,2015-05-04,0.0,18.7,17.2,15.6,7.8,2.8
124,2015-05-05,0.0,19.8,18.1,16.4,9.2,1.7
