"","desc_fecha","horario","cant_accidentes","id_desc_dia_semana","estacion","precipitacion","temperatura","viento"
"1",2015-01-01,"madrugada",1,4,"winter","No llueve","Frio","Bajo"
"2",2015-01-01,"mañana",4,4,"winter","No llueve","Frio","Bajo"
"3",2015-01-01,"noche",2,4,"winter","No llueve","Frio","Bajo"
"4",2015-01-01,"tarde",5,4,"winter","No llueve","Frio","Bajo"
"5",2015-01-02,"mañana",5,4,"winter","No llueve","Frio","Bajo"
"6",2015-01-02,"noche",3,4,"winter","No llueve","Frio","Bajo"
"7",2015-01-02,"tarde",7,4,"winter","No llueve","Frio","Bajo"
"8",2015-01-03,"madrugada",2,1,"winter","No llueve","Frio","Bajo"
"9",2015-01-03,"mañana",6,1,"winter","No llueve","Frio","Bajo"
"10",2015-01-03,"noche",3,1,"winter","No llueve","Frio","Bajo"
"11",2015-01-03,"tarde",3,1,"winter","No llueve","Frio","Bajo"
"12",2015-01-04,"madrugada",2,1,"winter","No llueve","Frio","Bajo"
"13",2015-01-04,"mañana",6,1,"winter","No llueve","Frio","Bajo"
"14",2015-01-04,"noche",2,1,"winter","No llueve","Frio","Bajo"
"15",2015-01-04,"tarde",6,1,"winter","No llueve","Frio","Bajo"
"16",2015-01-05,"mañana",8,1,"winter","No llueve","Frio","Bajo"
"17",2015-01-05,"noche",10,1,"winter","No llueve","Frio","Bajo"
"18",2015-01-05,"tarde",13,1,"winter","No llueve","Frio","Bajo"
"19",2015-01-06,"madrugada",3,1,"winter","No llueve","Frio","Bajo"
"20",2015-01-06,"mañana",1,1,"winter","No llueve","Frio","Bajo"
"21",2015-01-06,"noche",4,1,"winter","No llueve","Frio","Bajo"
"22",2015-01-06,"tarde",9,1,"winter","No llueve","Frio","Bajo"
"23",2015-01-07,"madrugada",2,3,"winter","No llueve","Frio","Bajo"
"24",2015-01-07,"mañana",11,3,"winter","No llueve","Frio","Bajo"
"25",2015-01-07,"noche",6,3,"winter","No llueve","Frio","Bajo"
"26",2015-01-07,"tarde",7,3,"winter","No llueve","Frio","Bajo"
"27",2015-01-08,"mañana",11,4,"winter","No llueve","Frio","Bajo"
"28",2015-01-08,"noche",4,4,"winter","No llueve","Frio","Bajo"
"29",2015-01-08,"tarde",17,4,"winter","No llueve","Frio","Bajo"
"30",2015-01-09,"mañana",11,4,"winter","No llueve","Frio","Bajo"
"31",2015-01-09,"noche",5,4,"winter","No llueve","Frio","Bajo"
"32",2015-01-09,"tarde",17,4,"winter","No llueve","Frio","Bajo"
"33",2015-01-10,"mañana",4,1,"winter","No llueve","Frio","Bajo"
"34",2015-01-10,"noche",3,1,"winter","No llueve","Frio","Bajo"
"35",2015-01-10,"tarde",8,1,"winter","No llueve","Frio","Bajo"
"36",2015-01-11,"mañana",1,1,"winter","No llueve","Frio","Bajo"
"37",2015-01-11,"noche",4,1,"winter","No llueve","Frio","Bajo"
"38",2015-01-11,"tarde",5,1,"winter","No llueve","Frio","Bajo"
"39",2015-01-12,"madrugada",2,1,"winter","No llueve","Frio","Bajo"
"40",2015-01-12,"mañana",11,1,"winter","No llueve","Frio","Bajo"
"41",2015-01-12,"noche",9,1,"winter","No llueve","Frio","Bajo"
"42",2015-01-12,"tarde",9,1,"winter","No llueve","Frio","Bajo"
"43",2015-01-13,"madrugada",1,1,"winter","No llueve","Frio","Bajo"
"44",2015-01-13,"mañana",8,1,"winter","No llueve","Frio","Bajo"
"45",2015-01-13,"noche",6,1,"winter","No llueve","Frio","Bajo"
"46",2015-01-13,"tarde",12,1,"winter","No llueve","Frio","Bajo"
"47",2015-01-14,"madrugada",2,3,"winter","No llueve","Frio","Bajo"
"48",2015-01-14,"mañana",9,3,"winter","No llueve","Frio","Bajo"
"49",2015-01-14,"noche",7,3,"winter","No llueve","Frio","Bajo"
"50",2015-01-14,"tarde",11,3,"winter","No llueve","Frio","Bajo"
"51",2015-01-15,"madrugada",1,4,"winter","No llueve","Frio","Bajo"
"52",2015-01-15,"mañana",11,4,"winter","No llueve","Frio","Bajo"
"53",2015-01-15,"noche",9,4,"winter","No llueve","Frio","Bajo"
"54",2015-01-15,"tarde",10,4,"winter","No llueve","Frio","Bajo"
"55",2015-01-16,"madrugada",3,4,"winter","Lluvia debil","Frio","Bajo"
"56",2015-01-16,"mañana",19,4,"winter","Lluvia debil","Frio","Bajo"
"57",2015-01-16,"noche",7,4,"winter","Lluvia debil","Frio","Bajo"
"58",2015-01-16,"tarde",23,4,"winter","Lluvia debil","Frio","Bajo"
"59",2015-01-17,"madrugada",3,1,"winter","No llueve","Frio","Bajo"
"60",2015-01-17,"mañana",5,1,"winter","No llueve","Frio","Bajo"
"61",2015-01-17,"noche",3,1,"winter","No llueve","Frio","Bajo"
"62",2015-01-17,"tarde",7,1,"winter","No llueve","Frio","Bajo"
"63",2015-01-18,"madrugada",2,1,"winter","Lluvia debil","Frio","Bajo"
"64",2015-01-18,"mañana",3,1,"winter","Lluvia debil","Frio","Bajo"
"65",2015-01-18,"noche",3,1,"winter","Lluvia debil","Frio","Bajo"
"66",2015-01-18,"tarde",5,1,"winter","Lluvia debil","Frio","Bajo"
"67",2015-01-19,"madrugada",2,1,"winter","Lluvia debil","Frio","Bajo"
"68",2015-01-19,"mañana",14,1,"winter","Lluvia debil","Frio","Bajo"
"69",2015-01-19,"noche",6,1,"winter","Lluvia debil","Frio","Bajo"
"70",2015-01-19,"tarde",16,1,"winter","Lluvia debil","Frio","Bajo"
"71",2015-01-20,"mañana",14,1,"winter","No llueve","Frio","Bajo"
"72",2015-01-20,"noche",9,1,"winter","No llueve","Frio","Bajo"
"73",2015-01-20,"tarde",13,1,"winter","No llueve","Frio","Bajo"
"74",2015-01-21,"mañana",7,3,"winter","No llueve","Frio","Bajo"
"75",2015-01-21,"noche",4,3,"winter","No llueve","Frio","Bajo"
"76",2015-01-21,"tarde",12,3,"winter","No llueve","Frio","Bajo"
"77",2015-01-22,"madrugada",2,4,"winter","No llueve","Frio","Bajo"
"78",2015-01-22,"mañana",12,4,"winter","No llueve","Frio","Bajo"
"79",2015-01-22,"noche",6,4,"winter","No llueve","Frio","Bajo"
"80",2015-01-22,"tarde",8,4,"winter","No llueve","Frio","Bajo"
"81",2015-01-23,"madrugada",3,4,"winter","No llueve","Frio","Medio"
"82",2015-01-23,"mañana",11,4,"winter","No llueve","Frio","Medio"
"83",2015-01-23,"noche",5,4,"winter","No llueve","Frio","Medio"
"84",2015-01-23,"tarde",13,4,"winter","No llueve","Frio","Medio"
"85",2015-01-24,"madrugada",3,1,"winter","No llueve","Frio","Medio"
"86",2015-01-24,"mañana",3,1,"winter","No llueve","Frio","Medio"
"87",2015-01-24,"noche",6,1,"winter","No llueve","Frio","Medio"
"88",2015-01-24,"tarde",8,1,"winter","No llueve","Frio","Medio"
"89",2015-01-25,"madrugada",3,1,"winter","No llueve","Frio","Bajo"
"90",2015-01-25,"mañana",4,1,"winter","No llueve","Frio","Bajo"
"91",2015-01-25,"noche",1,1,"winter","No llueve","Frio","Bajo"
"92",2015-01-25,"tarde",11,1,"winter","No llueve","Frio","Bajo"
"93",2015-01-26,"madrugada",1,1,"winter","No llueve","Frio","Bajo"
"94",2015-01-26,"mañana",11,1,"winter","No llueve","Frio","Bajo"
"95",2015-01-26,"noche",4,1,"winter","No llueve","Frio","Bajo"
"96",2015-01-26,"tarde",5,1,"winter","No llueve","Frio","Bajo"
"97",2015-01-27,"madrugada",4,1,"winter","No llueve","Frio","Medio"
"98",2015-01-27,"mañana",15,1,"winter","No llueve","Frio","Medio"
"99",2015-01-27,"noche",6,1,"winter","No llueve","Frio","Medio"
"100",2015-01-27,"tarde",9,1,"winter","No llueve","Frio","Medio"
"101",2015-01-28,"madrugada",2,3,"winter","No llueve","Frio","Bajo"
"102",2015-01-28,"mañana",8,3,"winter","No llueve","Frio","Bajo"
"103",2015-01-28,"noche",9,3,"winter","No llueve","Frio","Bajo"
"104",2015-01-28,"tarde",16,3,"winter","No llueve","Frio","Bajo"
"105",2015-01-29,"mañana",7,4,"winter","No llueve","Frio","Bajo"
"106",2015-01-29,"noche",2,4,"winter","No llueve","Frio","Bajo"
"107",2015-01-29,"tarde",10,4,"winter","No llueve","Frio","Bajo"
"108",2015-01-30,"madrugada",2,4,"winter","No llueve","Frio","Medio"
"109",2015-01-30,"mañana",8,4,"winter","No llueve","Frio","Medio"
"110",2015-01-30,"noche",9,4,"winter","No llueve","Frio","Medio"
"111",2015-01-30,"tarde",11,4,"winter","No llueve","Frio","Medio"
"112",2015-01-31,"madrugada",2,1,"winter","No llueve","Frio","Medio"
"113",2015-01-31,"mañana",9,1,"winter","No llueve","Frio","Medio"
"114",2015-01-31,"noche",3,1,"winter","No llueve","Frio","Medio"
"115",2015-01-31,"tarde",12,1,"winter","No llueve","Frio","Medio"
"116",2015-02-01,"madrugada",3,1,"winter","No llueve","Frio","Medio"
"117",2015-02-01,"mañana",3,1,"winter","No llueve","Frio","Medio"
"118",2015-02-01,"noche",4,1,"winter","No llueve","Frio","Medio"
