Num_expediente,Tipo_accidente
2015S000215,Colisión fronto-lateral
2015S000787,Choque contra elemento estático
2015S000390,Choque contra elemento estático
2015S007294,Caída (dos ruedas)
2015S009836,Colisión lateral
2015S009453,Atropello
2015S007312,Alcance
2015S004660,Colisión fronto-lateral
2015S006407,Atropello
2015S009834,Alcance multiple
2015S002735,Atropello
2015S000784,Colisión lateral
2015S003464,Colisión lateral
2015S001064,Colisión lateral
2015S006090,Colisión lateral
2015S002841,Atropello
2015S006350,Alcance
2015S002520,Atropello
2015S008475,Colisión lateral
2015S006010,Choque contra elemento estático
2015S001882,Alcance
2015S000598,Caída (dos ruedas)
2015S002514,Caída (dos ruedas)
2015S000496,Colisión fronto-lateral
2015S009845,Colisión lateral
2015S005886,Alcance
2015S009924,Colisión fronto-lateral
2015S006700,Colisión lateral
2015S002323,Colisión fronto-lateral
2015S006305,Colisión lateral
2015S002600,Atropello
2015S002531,Atropello
2015S007997,Colisión fronto-lateral
2015S006939,Alcance
2015S000364,Caída (dos ruedas)
2015S004950,Caída (dos ruedas)
2015S001978,Colisión fronto-lateral
2015S007622,Choque contra elemento estático
2015S006489,Colisión lateral
2015S000119,Colisión lateral
2015S003643,Caída (dos ruedas)
2015S009339,Colisión lateral
2015S004361,Alcance
2015S004361,Colisión lateral
2015S009984,Colisión fronto-lateral
2015S007468,Caída interior vehículo
2015S002382,Colisión fronto-lateral
2015S009550,Caída (dos ruedas)
2015S003497,Alcance
2015S002605,Choque contra elemento estático
2015S002721,Colisión fronto-lateral
2015S006503,Colisión fronto-lateral
2015S005366,Colisión fronto-lateral
2015S000964,Choque contra elemento estático
2015S003954,Choque contra elemento estático
2015S005052,Colisión lateral
2015S003867,Alcance
2015S003156,Atropello
2015S006682,Alcance
2015S004614,Alcance
2015S007924,Colisión lateral
2015S009912,Atropello
2015S004492,Colisión fronto-lateral
2015S007333,Atropello
2015S001642,Colisión fronto-lateral
2015S002821,Atropello
2015S001042,Colisión fronto-lateral
2015S001449,Alcance
2015S008731,Colisión lateral
2015S000203,Colisión lateral
2015S008531,Colisión fronto-lateral
2015S006600,Colisión lateral
2015S008934,Colisión lateral
2015S007110,Colisión frontal
2015S004807,Alcance
2015S003509,Colisión lateral
2015S008484,Alcance
2015S005476,Colisión lateral
2015S001722,Otros
2015S004125,Alcance
2015S008964,Colisión lateral
2015S002114,Colisión lateral
2015S001709,Colisión fronto-lateral
2015S003510,Colisión fronto-lateral
2015S006495,Alcance multiple
2015S005236,Alcance multiple
2015S008768,Colisión lateral
2015S007316,Caída (dos ruedas)
2015S006844,Colisión fronto-lateral
2015S002330,Colisión frontal
2015S001057,Colisión lateral
2015S008065,Caída (dos ruedas)
2015S000586,Colisión frontal
2015S009276,Choque contra elemento estático
2015S004966,Colisión lateral
2015S005797,Colisión lateral
2015S009384,Alcance multiple
2015S005463,Colisión frontal
2015S000069,Alcance
2015S004230,Colisión lateral
2015S009040,Alcance
2015S001484,Alcance
2015S008529,Colisión lateral
2015S002119,Colisión frontal
2015S002387,Colisión frontal
2015S005288,Atropello
2015S007573,Caída interior vehículo
2015S008427,Colisión fronto-lateral
2015S000904,Caída (dos ruedas)
2015S003949,Colisión lateral
2015S003374,Colisión fronto-lateral
2015S009875,Colisión fronto-lateral
2015S004348,Colisión fronto-lateral
2015S007530,Atropello
2015S007646,Alcance
2015S001235,Choque contra elemento estático
2015S005594,Colisión lateral
2015S001051,Choque contra elemento estático
2015S009269,Colisión fronto-lateral
2015S007732,Alcance
2015S007732,Colisión fronto-lateral
2015S008168,Alcance
2015S003467,Choque contra elemento estático
2015S005729,Colisión fronto-lateral
2015S008452,Alcance
2015S004780,Alcance
2015S000567,Alcance
2015S008044,Alcance
2015S001555,Alcance
2015S003919,Alcance
2015S009138,Alcance
2015S007118,Alcance
2015S009728,Alcance
2015S001745,Caída (dos ruedas)
2015S008411,Colisión lateral
2015S007075,Alcance
2015S005201,Alcance
2015S000951,Colisión frontal
