Número d'expedient,Codi districte,Nom districte,Codi barri,Nom barri,Codi carrer,Nom carrer,Num postal caption,Descripció dia setmana,Dia setmana,Descripció tipus dia,NK Any,Mes de any,Nom mes,Dia de mes,Hora de dia,Descripció torn,Descripció tipus accident,Coordenada UTM (X),Coordenada UTM (Y),Londitud,Latitud
2017S009418    ,-1,Desconegut,-1,Desconegut,-1,Francesc Ferrer i Guàrdia / Sant Jordi            ,Desconegut,Dilluns,Dl,Laboral,2017,11,Novembre,13,16,Tarda,Abast,428572.07,4580031.06,"2,144,821","41,366,779"
2017S008852    ,-1,Desconegut,-1,Desconegut,-1,Valldaura                                         ,284-286   ,Dijous,Dj,Laboral,2017,10,Octubre,26,7,Matí,Col.lisió fronto-lateral,431806.6,4588044.41,"2,182,588","41,439,233"
2017S001023    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,209900,NAVAS DE TOLOSA / Av Meridiana                    ,0203 0205,Dimarts,Dm,Laboral,2017,2,Febrer,7,15,Tarda,Col.lisió lateral,"432116,48","4585382,72","2,186,591","4,141,528"
2017S009198    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,346402,Trinxant / Ruiz de Padrón                         ,0090 0090,Dimarts,Dm,Laboral,2017,11,Novembre,7,14,Tarda,Col.lisió fronto-lateral,"431940,75","4585401,48","2,184,483","41,415,436"
2017S006546    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0330 0332,Dijous,Dj,Laboral,2017,7,Juliol,27,14,Tarda,Abast,"431537,32","4585363,11","2,179,666","4,141,506"
2017S003698    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0272 0274,Dimarts,Dm,Laboral,2017,4,Abril,25,20,Tarda,Caiguda interior vehicle,"431315,37","4585145,28","2,177,034","41,413,077"
2017S004977    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0258 0260,Dimecres,Dc,Laboral,2017,6,Juny,7,11,Matí,Abast,"431235,61","4585067,59","2,176,086","41,412,368"
2017S008080    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0258 0260,Dissabte,Ds,Laboral,2017,9,Setembre,30,19,Tarda,Abast,"431235,61","4585067,59","2,176,086","41,412,368"
2017S004521    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,297001,Sant Antoni Maria Claret                          ,0262 0262,Dilluns,Dl,Laboral,2017,5,Maig,22,12,Matí,Col.lisió lateral,"431255,05","4585086,56","2,176,323","41,412,541"
2017S004180    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,105304,Còrsega / Dos de Maig                             ,0296 0296,Dijous,Dj,Laboral,2017,5,Maig,11,9,Matí,Abast,"431363,56","4584864,48","217,764","4,141,055"
2017S007189    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,310008,Sant Quintí                                       ,0047 0053,Dissabte,Ds,Laboral,2017,8,Agost,26,17,Tarda,Col.lisió lateral,"431393,94","4585181,04","2,177,963","41,413,408"
2017S009138    ,10,Sant Martí,64,el Camp de l'Arpa del Clot,289105,Rosselló / Dos de Maig                            ,0517 0517,Diumenge,Dg,Laboral,2017,11,Novembre,5,1,Nit,Col.lisió fronto-lateral,"431476,18","4584771,97","2,179,003","41,409,722"
