Num_expediente,Tipo_vehiculo,Modelo,Marca,Color,Tipo_carnet,Antiguedad_carnet
2015S004912,Turismo,ALMERA,NISSAN,Gris,B,36
2015S002169,Turismo,ASTRA,OPEL,Gris,B,1
2015S003045,Turismo,SAXO,CITROEN,Blanco,B,3
2015S002476,Turismo,JAZZ,HONDA,Gris,B,2
2015S009751,Motocicleta,AGILITY 125,KYMCO,Negro,B,4
2015S001125,Turismo,COROLLA,TOYOTA,Gris,B,16
2015S001125,Taxi,OCTAVIA,SKODA,Negro/Amarillo,BTP,6
2015S007041,Autobús,NL 18,MAN,Rojo,D,17
2015S007294,Motocicleta,SH 100,HONDA,Azul,A,26
2015S002616,Motocicleta,SH 150,HONDA,Gris,A1,5
2015S009981,Motocicleta,CBR 125,HONDA,Negro,B,19
2015S006832,Furgoneta,BERLINGO,CITROEN,Desconocido,B,16
2015S003314,Turismo,93,SAAB,Negro,B,17
2015S006533,Motocicleta,SH 300,HONDA,Blanco,A,4
2015S008631,Autobús,CITYCLASS,IRISBUS,Rojo,D,24
2015S007312,Turismo,206,PEUGEOT,Azul,B,20
2015S002937,Taxi,TOLEDO,SEAT,Otros,BTP,3
2015S004660,Turismo,CORSA,OPEL,Blanco,B,15
2015S000505,Turismo,IBIZA,SEAT,Azul,B,10
2015S000654,Bicicleta,Desconocido,BICING,Rojo,Desconocido,Desconocido
2015S009330,Motocicleta,Desconocido,BULTACO,Gris,A,28
2015S009038,Motocicleta,SCV100,HONDA,Negro,B,15
2015S002735,Furgoneta,NEMO,CITROEN,Blanco,B,9
2015S004581,Turismo,XSARA,CITROEN,Verde,B,25
2015S000395,Turismo,YARIS,TOYOTA,Gris,B,4
2015S008179,Turismo,PUNTO,FIAT,Rojo,B,7
2015S002056,Furgoneta,DOBLO,FIAT,Blanco,B,10
2015S001788,Ciclomotor,SH 50,HONDA,Gris,AM,8
2015S008501,Turismo,CARNIVAL,KIA,Gris,B,7
2015S008501,Motocicleta,ER,KAWASAKI,Negro,A2,1
2015S003031,Turismo,C-CROSSER,CITROEN,Blanco,B,0
2015S001791,Turismo,LEON,SEAT,Rojo,B,10
2015S007467,Motocicleta,SUPER DINK 125,KYMCO,Negro,B,6
2015S001514,Turismo,PASSAT,VOLKSWAGEN,Gris,B,17
2015S001514,Motocicleta,YP 125,YAMAHA,Negro,B,20
2015S000553,Motocicleta,SH 125,HONDA,Gris,B,21
2015S008214,Turismo,NOTE,NISSAN,Blanco,B,47
2015S008214,Bicicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
2015S003518,Turismo,MERIVA,OPEL,Blanco,B,24
2015S008823,Turismo,GRAND VITARA,SUZUKI,Gris,B,36
2015S008345,Motocicleta,PCX,HONDA,Negro,A1,28
2015S005287,Turismo,AROSA,SEAT,Blanco,Desconocido,Desconocido
2015S006612,Microbus <=17 plazas,MASTER,RENAULT,Blanco,D,19
2015S009861,Motocicleta,Sport City,APRILIA,Desconocido,B,12
2015S001831,Motocicleta,125,SUZUKI,Verde,B,8
2015S002005,Motocicleta,AGILITY 125,KYMCO,Negro,B,6
2015S002645,Turismo,CORDOBA,SEAT,Gris,B,18
2015S005198,Motocicleta,NA 850 MANA,APRILIA,Negro,A2,2
2015S009968,Motocicleta,Vision,HONDA,Blanco,B,32
2015S000924,Motocicleta,LIKE 125,KYMCO,Negro,A2,4
2015S003551,Motocicleta,SCOOPY 75,HONDA,Blanco,B,5
2015S005014,Motocicleta,FIDDLE II 125,SYM,Negro,B,11
2015S006968,Autobús,Desconocido,MAN,Rojo,D,19
2015S007341,Turismo,LEON,SEAT,Rojo,B,10
2015S005673,Taxi,PRIUS,TOYOTA,Negro/Amarillo,BTP,9
2015S004248,Bicicleta,Desconocido,Desconocido,Desconocido,B,Desconocido
2015S008158,Turismo,PASSAT,VOLKSWAGEN,Otros,Desconocido,Desconocido
2015S007314,Furgoneta,COMBO,OPEL,Blanco,B,1
2015S005055,Furgoneta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
2015S008433,Turismo,E 270,MERCEDES-BENZ,Gris,B,17
2015S002311,Furgoneta,TOURNEO,FORD,Blanco,Desconocido,Desconocido
2015S001850,Furgoneta,KANGOO,RENAULT,Blanco,Desconocido,Desconocido
2015S002213,Bicicleta,Desconocido,Desconocido,Desconocido,Desconocido,Desconocido
2015S004950,Motocicleta,MONSTER 600,DUCATI,Negro,A,7
2015S003508,Turismo,FIESTA,FORD,Gris,B,6
2015S003508,Motocicleta,SH 125,HONDA,Rojo,B,15
2015S005975,Ciclomotor,VIVA 3L,PEUGEOT,Blanco,AM,6
2015S008255,Furgoneta,KANGOO,RENAULT,Blanco,B,5
2015S007468,Taxi,Desconocido,Desconocido,Otros,Desconocido,Desconocido
2015S007468,Autobús,CITYCLASS,IRISBUS,Rojo,D,6
2015S006720,Motocicleta,VN 900,KAWASAKI,Negro,A,30
2015S001962,Furgoneta,PARTNER,PEUGEOT,Blanco,B,13
2015S001044,Turismo,SCENIC,RENAULT,Gris,B,15
2015S000017,Turismo,AYGO,TOYOTA,Blanco,B,14
2015S000664,Bicicleta,Desconocido,Desconocido,Rojo,Desconocido,Desconocido
2015S006047,Motocicleta,UH 200,SUZUKI,Negro,B,29
2015S003418,Autobús,Desconocido,IVECO FIAT,Amarillo,D,10
2015S004855,Bicicleta,Desconocido,Desconocido,Negro,Desconocido,Desconocido
2015S004995,Turismo,C4,CITROEN,Marrón,B,1
2015S005983,Turismo,LEON,SEAT,Rojo,B,6
2015S000600,Turismo,S3,AUDI,Azul,B,4
2015S003192,Ciclomotor,ATLANTIS,DERBI,Negro,B,1
2015S006215,Turismo,C5,CITROEN,Negro,Desconocido,Desconocido
2015S007346,Turismo,MONDEO,FORD,Verde,B,42
2015S004625,Turismo,KA,FORD,Gris,Desconocido,Desconocido
2015S004625,Turismo,XSARA,CITROEN,Azul,Desconocido,Desconocido
2015S003587,Motocicleta,T MAX,YAMAHA,Negro,A2,1
2015S002605,Turismo,530,BMW,Gris,Desconocido,Desconocido
2015S006301,Motocicleta,Dylan 125,HONDA,Gris,B,40
2015S004222,Turismo,AROSA,SEAT,Rojo,B,42
2015S004222,Ciclomotor,S-FIVE,DAELIM,Gris,B,13
2015S000198,Motocicleta,LIBERTY 125,PIAGGIO,Gris,B,39
2015S002414,Motocicleta,NT 650,HONDA,Negro,Desconocido,Desconocido
2015S001286,Motocicleta,Dylan 125,HONDA,Gris,B,18
2015S005712,Turismo,C4,CITROEN,granate,B,47
2015S005659,Turismo,ASTRA,OPEL,Gris,B,6
