Causa_peaton,Condicion_fisica,Edad,Num_expediente,Sexo,Tipo_persona,Tipo_vehiculo
No es debido al peatón,Herido leve,36,2015S005991,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,54,2015S004912,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,49,2015S009751,Hombre,Conductor,Motocicleta
Cruzar por fuera paso de peatones,Herido leve,13,2015S002580,Hombre,Peatón,Motocicleta
No es debido al peatón,Herido leve,49,2015S008919,Hombre,Conductor,Motocicleta
Desobedecer la señan del semáforo,Herido leve,68,2015S002024,Mujer,Peatón,Ciclomotor
No es debido al peatón,Herido leve,33,2015S000787,Hombre,Pasajero,Motocicleta
No es debido al peatón,Herido leve,37,2015S001125,Mujer,Conductor,Turismo
Otros,Herido leve,49,2015S007294,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,23,2015S002616,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,31,2015S008758,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,31,2015S001866,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,26,2015S001693,Mujer,Conductor,Ciclomotor
No es debido al peatón,Herido leve,19,2015S007146,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,80,2015S001671,Hombre,Pasajero,Autobús
No es debido al peatón,Herido leve,32,2015S000114,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,41,2015S007011,Mujer,Conductor,Ciclomotor
No es debido al peatón,Herido leve,22,2015S004924,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,18,2015S000654,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,58,2015S009116,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,62,2015S002056,Mujer,Pasajero,Taxi
No es debido al peatón,Herido leve,33,2015S003031,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,34,2015S004557,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,43,2015S000553,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,20,2015S008823,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,32,2015S000035,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,30,2015S005198,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,49,2015S009968,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,4,2015S000660,Hombre,Peatón,Furgoneta
No es debido al peatón,Herido leve,22,2015S003551,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,9,2015S004782,Hombre,Pasajero,Motocicleta
No es debido al peatón,Herido leve,33,2015S006968,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,30,2015S005014,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,24,2015S004528,Mujer,Conductor,Bicicleta
No es debido al peatón,Herido leve,44,2015S005673,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,34,2015S004248,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,38,2015S003679,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,28,2015S007931,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,32,2015S009062,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,89,2015S002600,Mujer,Peatón,Furgoneta
No es debido al peatón,Herido leve,63,2015S002531,Mujer,Peatón,Turismo
No es debido al peatón,Herido leve,52,2015S001602,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,22,2015S009350,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,60,2015S006939,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,65,2015S004130,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,18,2015S000039,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,26,2015S002311,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,27,2015S002023,Mujer,Conductor,Ciclomotor
No es debido al peatón,Herido leve,54,2015S007241,Hombre,Conductor,Turismo
Cruzar por fuera paso de peatones,Herido leve,17,2015S000364,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,32,2015S003508,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,56,2015S001771,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,36,2015S002640,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,24,2015S002521,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,53,2015S004474,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,56,2015S005368,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,28,2015S008603,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,40,2015S003373,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,27,2015S002796,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,21,2015S004744,Mujer,Conductor,Ciclomotor
No es debido al peatón,Herido leve,38,2015S002759,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,59,2015S003304,Mujer,Pasajero,Autobús
No es debido al peatón,Herido leve,24,2015S009173,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,22,2015S003587,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,44,2015S006301,Hombre,Conductor,Furgoneta
No es debido al peatón,Herido leve,38,2015S001954,Hombre,Peatón,Turismo
No es debido al peatón,Herido leve,48,2015S002001,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,18,2015S002001,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,38,2015S007527,Mujer,Conductor,Ciclomotor
No es debido al peatón,Herido leve,37,2015S006503,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,49,2015S004024,Mujer,Conductor,Turismo
No es debido al peatón,Herido leve,30,2015S008960,Hombre,Pasajero,Furgoneta
No es debido al peatón,Herido leve,22,2015S001313,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,39,2015S001172,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,27,2015S000940,Mujer,Conductor,Motocicleta
Desobedecer la señan del semáforo,Herido leve,34,2015S003156,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,19,2015S009178,Hombre,Conductor,Bicicleta
No es debido al peatón,Herido leve,31,2015S006623,Mujer,Pasajero,Furgoneta
No es debido al peatón,Herido leve,51,2015S006623,Hombre,Conductor,Furgoneta
No es debido al peatón,Herido leve,13,2015S000804,Hombre,Pasajero,Motocicleta
No es debido al peatón,Herido leve,57,2015S004448,Mujer,Peatón,Turismo
No es debido al peatón,Herido leve,27,2015S000888,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,33,2015S001913,Hombre,Conductor,Taxi
No es debido al peatón,Herido leve,33,2015S008011,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,70,2015S007163,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,45,2015S004383,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,40,2015S002757,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,52,2015S009152,Mujer,Conductor,Turismo
No es debido al peatón,Herido leve,29,2015S006170,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,71,2015S002870,Hombre,Peatón,Turismo
No es debido al peatón,Herido leve,63,2015S002339,Mujer,Conductor,Turismo
No es debido al peatón,Herido leve,28,2015S000535,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,58,2015S009349,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,62,2015S006272,Hombre,Conductor,Taxi
No es debido al peatón,Herido leve,41,2015S006600,Mujer,Pasajero,Autobús
No es debido al peatón,Herido leve,38,2015S006600,Mujer,Pasajero,Autobús
No es debido al peatón,Herido leve,25,2015S006918,Mujer,Pasajero,Ciclomotor
No es debido al peatón,Herido grave,55,2015S006265,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,28,2015S009538,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,39,2015S008934,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,14,2015S009463,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,59,2015S004807,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,26,2015S009314,Mujer,Pasajero,Motocicleta
No es debido al peatón,Herido leve,42,2015S003509,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,26,2015S001643,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,50,2015S002114,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,28,2015S006178,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,30,2015S005948,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,26,2015S004890,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,32,2015S008768,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,66,2015S000171,Hombre,Pasajero,Autobús
No es debido al peatón,Herido leve,94,2015S000171,Mujer,Pasajero,Autobús
No es debido al peatón,Herido leve,39,2015S002875,Mujer,Pasajero,Autobús
No es debido al peatón,Herido leve,40,2015S008751,Mujer,Conductor,Motocicleta
No es debido al peatón,Muerte,36,2015S008817,Hombre,Conductor,Motocicleta
Otros,Herido leve,72,2015S005371,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,33,2015S006609,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,50,2015S006844,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,52,2015S002330,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,47,2015S007442,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,33,2015S005085,Mujer,Conductor,Bicicleta
No es debido al peatón,Herido leve,38,2015S009890,Mujer,Conductor,Motocicleta
No es debido al peatón,Herido leve,38,2015S009384,Mujer,Pasajero,Turismo
No es debido al peatón,Herido leve,33,2015S000069,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,23,2015S009040,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,37,2015S008529,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,21,2015S002926,Mujer,Pasajero,Turismo
Desobedecer la señan del semáforo,Herido leve,24,2015S005288,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,69,2015S007573,Mujer,Pasajero,Autobús
No es debido al peatón,Herido leve,44,2015S008427,Mujer,Pasajero,Taxi
No es debido al peatón,Herido leve,-1,2015S000904,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,25,2015S003374,Hombre,Conductor,Ciclomotor
No es debido al peatón,Herido leve,29,2015S001178,Hombre,Conductor,Furgoneta
No es debido al peatón,Herido leve,53,2015S001178,Hombre,Conductor,Turismo
No es debido al peatón,Herido leve,24,2015S001093,Hombre,Pasajero,Turismo
No es debido al peatón,Herido leve,24,2015S009055,Hombre,Conductor,Motocicleta
No es debido al peatón,Herido leve,60,2015S005374,Mujer,Conductor,Motocicleta
